bag_section	rotation
216_1	0
216_2	0
216_3	0
216_4	0
216_5	0
216_6	0
225_1	0
225_2	0
225_3	0
225_4	0
225_5	0
225_6	0
242_2	0
243_3	-30
244_1	-30
245_1	0
246_1	0
247_1	0
252_1	0
252_2	0
252_3	0
252_4	0
252_5	0
252_6	0
253_1	0
253_2	0
253_3	0
253_4	0
253_5	0
266_1	-25
266_2	-25
266_3	-25
266_4	-25
266_5	-30
266_6	-25
293_1	-45
293_2	-45
293_3	-45
293_4	-55
293_5	-45
293_6	-65
294_1	-60
294_2	-60
294_3	-60
294_4	-60
294_5	-50
294_6	-60
296_1	-10
296_2	-10
296_3	-10
296_4	-10
296_5	-10
296_6	-10
300_1	40
300_2	40
300_3	40
300_4	40
300_5	40
300_6	40
301_1	45
301_2	45
301_3	45
301_4	45
301_5	45
301_6	45
327_1	30
327_2	30
327_3	30
327_4	30
327_5	30
327_6	30
346_1	-2
346_2	-2
346_3	-2
346_4	-2
346_5	-2
346_6	-2
356_1	15
356_2	15
356_3	15
356_4	15
356_5	15
356_6	15
375_1	-65
375_2	-65
375_3	-65
375_4	-125
375_5	-65
375_6	-65
387_1	-5
387_2	-5
387_3	-5
387_4	-5
387_5	-5
387_6	-5
415_1	-25
415_2	-25
415_3	-25
415_4	-25
415_5	-25
415_6	-25
416_1	-10
416_2	-10
416_3	-10
416_4	-10
416_5	-10
416_6	-10
427_1	5
427_2	5
427_3	5
427_4	5
427_5	5
427_6	5
432_1	-75
434_1	55
436_1	50
438_1	-45
438_2	-45
438_3	-45
438_4	-45
438_5	-45
438_6	-45
440_1	-50
440_2	-50
440_3	-50
440_4	-50
440_5	-50
440_6	-50
442_1	-50
444_1	-5
446_2	50
448_1	50
450_1	55
452_1	90
455_1	-60
455_2	-60
455_3	-60
455_4	-60
455_5	-60
455_6	-60
477_1	40
477_2	40
477_3	40
477_4	40
477_6	40
486_1	0
486_2	0
486_3	0
486_4	0
486_5	0
486_6	0
495_1	-60
495_2	-60
495_3	-60
495_4	-60
495_5	-60
495_6	-60
504_1	-5
504_2	-5
504_3	-5
504_4	-5
504_5	-5
504_6	-5
505_1	-5
505_2	-5
505_3	-5
505_4	-5
505_5	-5
505_6	-5
526_1	25
526_2	25
526_3	25
526_4	25
526_5	25
526_6	25
535_1	90
535_2	90
535_3	90
535_4	90
535_5	90
535_6	90
550_1	30
550_2	30
550_3	30
550_4	30
550_5	30
550_6	30
551_1	-15
551_2	-15
551_3	-15
551_4	-15
551_5	-15
551_6	-15
566_1	-20
566_2	-20
566_3	-20
566_4	-20
566_5	-20
566_6	-20
582_1	65
582_2	65
582_3	65
582_4	65
582_5	65
582_6	65
583_1	70
583_2	70
583_3	70
583_4	70
583_5	70
583_6	70
596_1	-45
596_2	-45
596_3	-45
596_4	-45
596_5	-45
596_6	-45
597_1	-45
597_2	-45
597_3	-45
597_4	-45
597_5	-45
597_6	-45
616_1	0
616_2	0
616_3	0
616_4	0
616_5	0
616_6	0
636_1	75
636_2	75
636_3	75
636_4	75
636_5	75
636_6	75
646_1	15
646_2	15
646_3	15
646_4	15
646_5	15
646_6	15
657_1	-25
657_2	-25
657_3	-25
657_4	-25
657_6	-25
666_1	-70
666_2	-70
666_3	-70
666_4	-70
666_5	-70
666_6	-70
686_1	-45
686_2	-45
686_3	-45
686_4	-45
686_5	-45
686_6	-45
724_1	75
724_2	75
724_3	75
724_4	75
724_5	75
724_6	75
756_1	-5
756_2	-5
756_3	-5
756_4	-5
756_5	-5
756_6	-5
776_1	-65
776_2	-65
776_3	-65
776_4	-65
776_5	-65
776_6	-65
796_1	-65
796_2	-10
796_3	-10
796_4	-10
796_5	-10
796_6	-10
816_1	-25
816_2	-25
816_3	-25
816_4	-25
816_5	-25
816_6	-25
836_2	50
836_3	50
836_4	50
836_5	50
836_6	50
866_1	-40
866_2	-40
866_3	-40
866_4	-40
866_5	-40
866_6	-40
896_1	-60
896_2	-60
896_3	-60
896_4	-60
896_5	-60
896_6	-60
936_1	-30
936_2	-30
936_3	-30
936_4	-30
936_5	-30
